Participant,Item,Condition,R1,R2,R3,R4,R5,R6
26,15,2,3394,1121,1047,858,216,1328
27,15,1,812,1026,1552,1626,1202,1731
28,15,2,3043,2717,1293,1091,1700,1656
29,15,1,985,1047,1255,1235,1160,1711
30,15,2,2254,184,3146,3479,1587,1997
31,15,1,1100,1555,1670,1601,1111,1803
32,15,2,910,1690,759,1244,998,1811
33,15,1,1277,1171,1833,2134,2106,1772
34,15,2,1044,2065,1927,1983,1505,185
35,15,1,2155,2289,403,1752,1365,865
37,15,2,1414,1300,173,211,187,424
38,15,1,2246,2345,1332,1075,1219,915
39,15,2,1059,3298,365,144,776,615
40,15,1,671,937,888,1817,2096,603
41,15,2,1204,1655,1503,1710,1782,2618
1,16,2,1205,1873,4629,1490,954,1018
2,16,1,1275,1873,1369,1459,1013,1250
3,16,2,2270,1671,4190,1173,1264,865
4,16,1,1704,1567,382,512,919,1159
5,16,2,1061,165,2286,1434,847,1032
6,16,1,1293,1091,2066,900,441,548
7,16,2,4116,1812,2195,1532,1058,1676
