Participant,Item,Condition,R1,R2,R3,R4,R5,R6
11,13,1,3521,1856,1623,1361,1291,1749
12,13,2,1913,1768,2023,1467,1056,789
13,13,1,2017,1290,1694,2403,891,2266
14,13,2,2225,1791,2085,2426,1235,468
15,13,1,5263,994,1557,1622,1297,1427
16,13,2,2591,2027,1551,1740,1741,2026
17,13,1,1434,3000,1976,5605,1551,2487
18,13,2,3477,3048,3714,2387,2608,0
19,13,1,2311,1281,1906,2163,1801,768
20,13,2,2673,5234,1667,3394,1801,2665
21,13,1,1106,1244,1006,780,1431,1682
22,13,2,1583,2232,1554,915,2995,1113
23,13,1,1575,1126,1535,1534,1136,5230
24,13,2,2385,1215,1112,2919,716,1411
25,13,1,2385,5749,3418,2213,2426,2556
26,13,2,1943,2354,1147,1153,1243,1170
27,13,1,1318,948,1002,1043,1205,1804
28,13,2,3138,1497,2489,2221,1672,4574
29,13,1,1296,1176,1421,1010,1797,1795
30,13,2,3524,6438,6413,2867,2277,1556
31,13,1,3607,1905,2452,2502,2664,1471
32,13,2,3194,1360,3539,2660,1350,4152
33,13,1,2200,1245,1703,1581,1355,1775
34,13,2,2183,1220,3055,1239,1394,1290
36,13,1,2594,1668,2385,1263,1503,1087
37,13,2,1951,1756,2994,2646,2942,4769
38,13,1,1662,1448,1618,933,1219,374
39,13,2,1066,3102,1407,891,2329,3653
40,13,1,2027,1403,1232,658,362,1353
41,13,2,2535,1776,2128,1158,903,2408
1,14,2,1099,1670,1541,2017,1184,902
2,14,1,1409,1852,3968,3931,0,3590
3,14,2,1749,1436,1857,1084,1223,983
4,14,1,1423,5910,2857,1273,1091,1470
5,14,2,861,911,1455,1208,1531,2890
6,14,1,509,1082,712,622,838,919
7,14,2,1861,1329,1108,1167,1153,2116
8,14,1,2052,1520,2168,2054,1374,1174
9,14,2,1347,2809,2427,1143,1010,1093
10,14,1,1261,1399,1634,1462,1118,667
11,14,2,1339,1275,1736,2482,1722,9546
12,14,1,1311,1627,1546,1346,844,824
13,14,2,1628,2775,1694,1428,1202,2016
14,14,1,1754,1266,1632,708,1479,1434
15,14,2,4149,1010,2599,2301,2303,1994
16,14,1,1510,1215,1797,1645,1086,1371
17,14,2,2509,1155,1685,1944,2186,2428
18,14,1,3780,1248,1534,1482,1705,1710
19,14,2,1997,1113,2445,1424,1490,7504
20,14,1,1859,1383,2003,2049,2559,910
21,14,2,439,619,847,2815,744,960
22,14,1,2609,2009,1689,2570,2320,2698
23,14,2,1148,1201,1503,2574,1065,3188
24,14,1,3076,2514,1109,721,679,3004
25,14,2,1447,1104,2142,1752,1389,2790
26,14,1,1541,2149,1117,848,922,2433
27,14,2,715,684,1127,1458,1436,1847
28,14,1,1179,907,1997,1463,1630,5513
29,14,2,269,1080,1431,1787,0,2934
30,14,1,6566,2203,3561,4988,2551,2054
31,14,2,2266,1617,2344,1833,1643,1035
32,14,1,1075,1089,1349,1305,904,984
33,14,2,2116,2085,1224,1689,1887,3650
34,14,1,1776,1534,1909,2125,706,1758
35,14,2,2946,1501,3055,1772,1798,9410
37,14,1,1459,1429,1205,1460,1290,2016
38,14,2,1563,1007,1083,1463,987,487
39,14,1,1035,1166,817,889,926,2734
40,14,2,1139,641,948,782,1064,377
41,14,1,1561,1524,1259,1794,1489,1133
1,15,1,0,5240,1835,1475,1659,1118
2,15,2,987,1281,3211,1782,2275,2213
3,15,1,3943,3628,2041,1406,940,1016
4,15,2,1312,3428,1931,1496,1019,17620
5,15,1,986,1062,1589,1955,1466,2524
6,15,2,377,783,480,367,1011,615
7,15,1,1683,1538,1435,1492,1076,2417
8,15,2,2159,1850,3086,3001,1761,2898
9,15,1,836,1336,2705,2169,1202,1539
10,15,2,1614,3202,2105,1331,1765,1585
11,15,1,2132,2448,1374,1391,1360,4157
12,15,2,1124,1921,810,996,1260,1319
13,15,1,1290,985,1010,1098,832,1536
14,15,2,1325,1144,2194,1431,1528,2308
15,15,1,3469,1202,1320,1581,1121,1683
16,15,2,1348,1593,2165,2025,1277,2227
17,15,1,1357,2126,1293,1378,1068,1094
18,15,2,1065,5800,1863,1317,1616,2100
19,15,1,1438,1847,1745,2348,1718,940
20,15,2,1500,2161,1670,2254,1487,1792
21,15,1,764,1232,936,1000,685,930
22,15,2,1166,1564,1355,825,1670,1079
23,15,1,1606,1746,1448,1468,1558,3093
24,15,2,1344,3522,1429,1395,1049,3806
25,15,1,1019,1447,1619,2081,1569,1613
26,15,2,3394,1121,1047,858,1345,1846
27,15,1,812,1026,1552,1626,1202,2072
28,15,2,3043,2717,1293,1091,1700,1656
29,15,1,985,1047,1255,1235,1160,2501
30,15,2,2254,5411,3146,3479,1587,4690
31,15,1,1100,1555,1670,1601,1111,1803
32,15,2,910,1690,2158,1244,998,1811
33,15,1,1277,1171,1833,2134,2106,3330
34,15,2,1044,2065,1927,1983,1505,1964
35,15,1,2155,2289,3370,1752,1365,1249
37,15,2,1414,1300,1406,907,1446,2426
